program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;FIELD;maldishonest;mascot;3;0.26;28;1;0;30;2.51808;2.60;379;155;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;5;30;5.86632;6.14;380;79;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;10;30;9.4341;9.90;381;59;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;15;30;13.137;13.79;380;51;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;20;30;16.7855;17.62;378;47;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;25;30;20.3379;21.35;380;43;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;30;30;23.9723;25.15;380;41;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;35;30;27.5705;28.92;377;39;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;40;30;31.3302;32.83;382;39;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;45;30;34.9067;36.60;380;38;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;50;30;38.5459;40.42;380;38;~1096;311.974;894.386
31;FIELD;semidishonest;hemi;3;0.26;28;1;0;30;0.484486;0.57;45;87;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;5;30;3.02551;3.28;43;24;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;10;30;5.42681;5.87;45;17;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;15;30;7.80102;8.44;45;14;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;20;30;10.161;10.99;45;13;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;25;30;12.5841;13.57;45;12;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;30;30;14.7794;15.97;43;11;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;35;30;17.2031;18.55;45;11;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;40;30;19.5239;21.06;43;10;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;45;30;21.9154;23.62;43;10;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;50;30;24.1847;26.11;43;10;~879;3.52423;10.1947
31;FIELD;semidishonest;semi;3;0.26;28;1;0;30;0.576218;0.64;61;118;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;5;30;3.08175;3.29;65;33;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;10;30;5.66861;6.01;63;20;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;15;30;8.21423;8.68;61;16;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;20;30;10.7758;11.37;61;13;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;25;30;13.3317;14.06;63;12;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;30;30;15.9148;16.75;62;10;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;35;30;18.3056;19.25;63;10;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;40;30;20.8864;21.94;61;9;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;45;30;23.3049;24.49;63;9;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;50;30;25.8288;27.11;62;8;~900;49.5791;148.359
31;FIELD;semidishonest;temi;3;0.26;28;1;0;30;0.336808;0.47;39;83;~886;4.30666;9.39563
31;FIELD;semidishonest;temi;3;NA;NA;NA;5;30;3.01628;3.32;33;21;~886;4.30655;9.39547
31;FIELD;semidishonest;temi;3;NA;NA;NA;10;30;5.46967;5.98;29;14;~886;4.3065;9.39535
31;FIELD;semidishonest;temi;3;NA;NA;NA;15;30;8.01772;8.71;29;12;~886;4.30653;9.39551
31;FIELD;semidishonest;temi;3;NA;NA;NA;20;30;10.4909;11.38;29;10;~886;4.30672;9.3955
31;FIELD;semidishonest;temi;3;NA;NA;NA;25;30;12.958;14.02;29;10;~886;4.30657;9.39561
31;FIELD;semidishonest;temi;3;NA;NA;NA;30;30;15.4905;16.76;31;9;~886;4.30654;9.39549
31;FIELD;semidishonest;temi;3;NA;NA;NA;35;30;17.9039;19.36;29;9;~886;4.30672;9.39572
31;FIELD;semidishonest;temi;3;NA;NA;NA;40;30;20.5546;22.20;31;9;~886;4.30669;9.39566
31;FIELD;semidishonest;temi;3;NA;NA;NA;45;30;23.2658;25.09;29;9;~886;4.30664;9.39578
31;FIELD;semidishonest;temi;3;NA;NA;NA;50;30;25.7453;27.76;29;9;~886;4.30667;9.39568
31;FIELD;semidishonest;soho;3;0.26;28;1;0;30;1.54486;2.38;164;97;~867;17.4789;52.187
31;FIELD;semidishonest;soho;3;NA;NA;NA;5;30;4.10894;4.54;109;47;~867;17.4793;52.1874
31;FIELD;semidishonest;soho;3;NA;NA;NA;10;30;6.52015;7.21;113;33;~867;17.4791;52.1875
31;FIELD;semidishonest;soho;3;NA;NA;NA;15;30;9.02746;9.93;113;27;~867;17.4791;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;20;30;11.2839;12.43;111;25;~867;17.4791;52.1874
31;FIELD;semidishonest;soho;3;NA;NA;NA;25;30;13.722;15.09;113;23;~867;17.479;52.1873
31;FIELD;semidishonest;soho;3;NA;NA;NA;30;30;16.1482;17.74;112;20;~867;17.4791;52.187
31;FIELD;semidishonest;soho;3;NA;NA;NA;35;30;18.3704;20.20;110;19;~867;17.4793;52.1874
31;FIELD;semidishonest;soho;3;NA;NA;NA;40;30;20.7896;22.85;110;17;~867;17.479;52.1872
31;FIELD;semidishonest;soho;3;NA;NA;NA;45;30;23.1723;25.45;111;17;~867;17.479;52.1875
31;FIELD;semidishonest;soho;3;NA;NA;NA;50;30;25.5871;28.11;110;16;~867;17.479;52.187
31;BINARY;malhonest;malicious-rep-bin;3;0.55;33;1;0;30;0.291948;0.34;18;88;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;5;30;4.51088;4.75;19;10;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;10;30;8.54338;8.98;19;6;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;15;30;12.6136;13.23;18;4;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;20;30;16.648;17.46;19;3;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;25;30;20.6961;21.76;16;2;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;30;30;24.7304;25.97;16;2;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;35;30;28.7741;30.22;18;2;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;40;30;32.7632;34.32;18;1;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;45;30;36.9145;38.66;18;1;NA;0.956064;NA
31;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;50;30;40.9562;42.99;18;1;NA;0.956064;NA
31;BINARY;malhonest;malicious-ccd;3;0.55;33;1;0;30;0.346729;0.38;15;161;NA;1.16047;NA
